id,filtered_words_str,features_str,label_index
R129,morning southern drop step building campaign. top international economy choose. really section audience culture majority idea. experts discuss ongoing developments election.,"(10000,[188,217,1312,1375,1558,3160,3556,3614,3743,4112,4333,4506,4687,5328,5852,5856,6968,8577,8645,9244,9462],[4.270695952029551,4.137164559405029,3.8187108282864943,5.117993812416755,4.42484663185681,4.137164559405029,2.849310271098391,0.6753425559264385,4.607168188650764,4.137164559405029,5.523458920524919,0.691153161953081,0.6832166123573445,3.6516567436233283,4.42484663185681,5.523458920524919,4.019381523748645,3.914021008090819,4.42484663185681,4.270695952029551,0.691153161953081])",1.0
R227,market easy star. different gas audience act car successful. experts discuss ongoing developments climate change.,"(10000,[760,821,1312,2059,2657,3614,3674,3984,4506,4687,5607,6097,6683,6928,9462],[4.137164559405029,2.849310271098391,3.8187108282864943,2.579019941358479,3.6516567436233283,0.6753425559264385,4.270695952029551,4.607168188650764,0.691153161953081,0.6832166123573445,3.914021008090819,5.117993812416755,4.270695952029551,3.914021008090819,0.691153161953081])",1.0
F231,able compare property indeed action company occur. run seat traditional. color improve feeling. — shocking claims aliens surface internet.,"(10000,[47,266,503,650,942,2408,2516,2733,2900,3496,4934,5643,5850,6633,7281,7936,8338,9246,9832],[3.914021008090819,3.914021008090819,0.691153161953081,2.958509563063383,4.137164559405029,3.8187108282864943,4.830311739964974,4.137164559405029,5.117993812416755,3.914021008090819,4.830311739964974,4.830311739964974,0.691153161953081,4.019381523748645,0.6832166123573445,0.691153161953081,0.691153161953081,4.137164559405029,4.270695952029551])",0.0
R066,call perform investment result health. box society end nice walk. experts discuss ongoing developments policy.,"(10000,[327,399,453,1098,1562,3370,3614,4506,4687,5146,6219,6944,7922,8423,9462],[4.270695952029551,3.914021008090819,3.8187108282864943,4.42484663185681,3.8187108282864943,4.607168188650764,0.6753425559264385,0.691153161953081,0.6832166123573445,4.137164559405029,2.997730276216664,2.8154087194227095,3.914021008090819,4.830311739964974,0.691153161953081])",1.0
F095,manage begin officer. number practice simply positive force whatever behavior. — shocking claims mind control surface internet.,"(10000,[1,391,503,1208,1513,1642,3184,4280,5850,6511,6988,7281,7695,7883,7936,8338,8519],[4.270695952029551,4.42484663185681,0.691153161953081,2.7826188965997183,4.137164559405029,4.270695952029551,2.6902455764687034,3.7316994512968646,0.691153161953081,4.830311739964974,5.117993812416755,0.6832166123573445,4.607168188650764,3.8187108282864943,0.691153161953081,0.691153161953081,4.270695952029551])",0.0
R174,true together drug. morning society sense everybody know admit them. bit probably act fall part notice. experts discuss ongoing developments policy.,"(10000,[327,1989,2297,2561,3160,3614,3729,3980,4506,4687,5447,6928,6944,7188,7366,7779,8312,8714,8740,8957,9462],[4.270695952029551,4.270695952029551,4.137164559405029,4.019381523748645,4.137164559405029,0.6753425559264385,4.137164559405029,5.523458920524919,0.691153161953081,0.6832166123573445,3.383392757028649,3.914021008090819,2.8154087194227095,4.270695952029551,4.830311739964974,3.7316994512968646,3.8187108282864943,4.42484663185681,4.42484663185681,5.523458920524919,0.691153161953081])",1.0
R201,test information sometimes pick figure rise. meeting common office practice new stuff. experts discuss ongoing developments public health.,"(10000,[20,585,1770,2825,3614,4110,4280,4506,4554,4687,5869,6219,6332,6586,7372,8190,8344,9462],[4.137164559405029,3.914021008090819,2.958509563063383,5.117993812416755,0.6753425559264385,4.019381523748645,3.7316994512968646,0.691153161953081,5.523458920524919,0.6832166123573445,5.117993812416755,2.997730276216664,4.607168188650764,4.42484663185681,4.019381523748645,4.137164559405029,4.019381523748645,0.691153161953081])",1.0
R072,table fact one even. quickly toward choose mean institution. experts discuss ongoing developments education.,"(10000,[815,909,3194,3391,3614,3931,4506,4687,5047,7177,7180,7215,9462,9706],[4.270695952029551,3.8187108282864943,3.8187108282864943,4.270695952029551,0.6753425559264385,3.4440173788450834,0.691153161953081,0.6832166123573445,2.60568818844064,4.830311739964974,4.830311739964974,4.42484663185681,0.691153161953081,4.42484663185681])",1.0
R064,south poor physical issue bag leg. point cover current difference assume manager ok computer. occur year well business. experts discuss ongoing developments research.,"(10000,[157,415,1238,1652,1921,2645,2664,3614,4416,4506,4546,4687,4816,6104,6616,7066,7393,7866,8103,8649,8899,9189,9462],[4.42484663185681,4.270695952029551,5.523458920524919,4.270695952029551,3.8187108282864943,4.137164559405029,4.607168188650764,0.6753425559264385,4.42484663185681,0.691153161953081,5.117993812416755,0.6832166123573445,3.914021008090819,4.270695952029551,3.914021008090819,2.849310271098391,4.830311739964974,4.137164559405029,4.019381523748645,4.137164559405029,4.607168188650764,4.270695952029551,0.691153161953081])",1.0
F037,others senior somebody save meet. country hospital technology member become. reflect number current night civil staff. — shocking claims miracle drug surface internet.,"(10000,[503,593,1020,1256,2347,3089,4144,4520,4930,5321,5850,6790,6869,6940,7281,7860,7870,7936,8338,8519,9073,9189,9714],[0.691153161953081,4.137164559405029,2.4789364828014966,3.125563647726549,5.117993812416755,4.42484663185681,4.137164559405029,4.607168188650764,3.7316994512968646,4.019381523748645,0.691153161953081,3.8187108282864943,4.270695952029551,4.607168188650764,0.6832166123573445,2.8154087194227095,4.270695952029551,0.691153161953081,0.691153161953081,4.270695952029551,5.117993812416755,4.270695952029551,5.523458920524919])",0.0
